video_id,title,description,tags,labels
vid_001,Funny Cat Compilation,A compilation of funny cat videos.,"['funny', 'cat', 'compilation']","['Animals', 'Comedy']"
vid_002,Top 10 Football Goals 2023,The best football goals of the year.,"['football', 'sports', 'goals']",['Sports']
vid_003,How to Bake a Chocolate Cake,Step-by-step guide to baking a chocolate cake.,"['baking', 'cake', 'chocolate']",['Cooking']
vid_004,Yoga for Beginners,A beginner's guide to yoga.,"['yoga', 'fitness', 'beginner']",['Health & Fitness']
vid_005,Latest Tech Gadgets Review,Reviewing the latest tech gadgets.,"['tech', 'gadgets', 'review']",['Technology']
vid_006,Travel Vlog: Paris,Exploring the beautiful city of Paris.,"['travel', 'vlog', 'paris']",['Travel']
vid_007,Learn Python in 10 Minutes,Quick tutorial on Python basics.,"['python', 'tutorial', 'coding']",['Education']
vid_008,Makeup Tutorial for Beginners,Makeup tips for beginners.,"['makeup', 'beauty', 'tutorial']",['Beauty']
vid_009,DIY Home Decor Ideas,Creative DIY home decor ideas.,"['diy', 'home', 'decor']",['Lifestyle']
vid_010,Epic Fails Compilation,A collection of epic fail moments.,"['fails', 'funny', 'compilation']",['Comedy']
vid_011,Funny Cat Compilation,A compilation of funny cat videos.,"['funny', 'cat', 'compilation']","['Animals', 'Comedy']"
vid_012,Top 10 Football Goals 2023,The best football goals of the year.,"['football', 'sports', 'goals']",['Sports']
vid_013,How to Bake a Chocolate Cake,Step-by-step guide to baking a chocolate cake.,"['baking', 'cake', 'chocolate']",['Cooking']
vid_014,Yoga for Beginners,A beginner's guide to yoga.,"['yoga', 'fitness', 'beginner']",['Health & Fitness']
vid_015,Latest Tech Gadgets Review,Reviewing the latest tech gadgets.,"['tech', 'gadgets', 'review']",['Technology']
vid_016,Travel Vlog: Paris,Exploring the beautiful city of Paris.,"['travel', 'vlog', 'paris']",['Travel']
vid_017,Learn Python in 10 Minutes,Quick tutorial on Python basics.,"['python', 'tutorial', 'coding']",['Education']
vid_018,Makeup Tutorial for Beginners,Makeup tips for beginners.,"['makeup', 'beauty', 'tutorial']",['Beauty']
vid_019,DIY Home Decor Ideas,Creative DIY home decor ideas.,"['diy', 'home', 'decor']",['Lifestyle']
vid_020,Epic Fails Compilation,A collection of epic fail moments.,"['fails', 'funny', 'compilation']",['Comedy']
vid_021,Funny Cat Compilation,A compilation of funny cat videos.,"['funny', 'cat', 'compilation']","['Animals', 'Comedy']"
vid_022,Top 10 Football Goals 2023,The best football goals of the year.,"['football', 'sports', 'goals']",['Sports']
vid_023,How to Bake a Chocolate Cake,Step-by-step guide to baking a chocolate cake.,"['baking', 'cake', 'chocolate']",['Cooking']
vid_024,Yoga for Beginners,A beginner's guide to yoga.,"['yoga', 'fitness', 'beginner']",['Health & Fitness']
vid_025,Latest Tech Gadgets Review,Reviewing the latest tech gadgets.,"['tech', 'gadgets', 'review']",['Technology']
vid_026,Travel Vlog: Paris,Exploring the beautiful city of Paris.,"['travel', 'vlog', 'paris']",['Travel']
vid_027,Learn Python in 10 Minutes,Quick tutorial on Python basics.,"['python', 'tutorial', 'coding']",['Education']
vid_028,Makeup Tutorial for Beginners,Makeup tips for beginners.,"['makeup', 'beauty', 'tutorial']",['Beauty']
vid_029,DIY Home Decor Ideas,Creative DIY home decor ideas.,"['diy', 'home', 'decor']",['Lifestyle']
vid_030,Epic Fails Compilation,A collection of epic fail moments.,"['fails', 'funny', 'compilation']",['Comedy']
vid_031,Funny Cat Compilation,A compilation of funny cat videos.,"['funny', 'cat', 'compilation']","['Animals', 'Comedy']"
vid_032,Top 10 Football Goals 2023,The best football goals of the year.,"['football', 'sports', 'goals']",['Sports']
vid_033,How to Bake a Chocolate Cake,Step-by-step guide to baking a chocolate cake.,"['baking', 'cake', 'chocolate']",['Cooking']
vid_034,Yoga for Beginners,A beginner's guide to yoga.,"['yoga', 'fitness', 'beginner']",['Health & Fitness']
vid_035,Latest Tech Gadgets Review,Reviewing the latest tech gadgets.,"['tech', 'gadgets', 'review']",['Technology']
vid_036,Travel Vlog: Paris,Exploring the beautiful city of Paris.,"['travel', 'vlog', 'paris']",['Travel']
vid_037,Learn Python in 10 Minutes,Quick tutorial on Python basics.,"['python', 'tutorial', 'coding']",['Education']
vid_038,Makeup Tutorial for Beginners,Makeup tips for beginners.,"['makeup', 'beauty', 'tutorial']",['Beauty']
vid_039,DIY Home Decor Ideas,Creative DIY home decor ideas.,"['diy', 'home', 'decor']",['Lifestyle']
vid_040,Epic Fails Compilation,A collection of epic fail moments.,"['fails', 'funny', 'compilation']",['Comedy']
vid_041,Funny Cat Compilation,A compilation of funny cat videos.,"['funny', 'cat', 'compilation']","['Animals', 'Comedy']"
